Red,Yellow,Blue,ch583,ch670,ch510,ch410,ch620,ch470,ch550,ch440
10.0,10.0,10.0,963,533,457,57,1021,217,751,172
10.0,10.0,100.0,955,525,449,56,1008,213,741,170
10.0,100.0,10.0,887,506,438,54,951,212,698,172
100.0,10.0,10.0,903,501,437,53,957,209,710,164
10.0,100.0,100.0,899,494,428,51,951,205,702,164
100.0,10.0,100.0,852,481,421,48,912,202,670,158
100.0,100.0,10.0,828,464,407,50,885,198,649,159
100.0,100.0,100.0,1150,618,533,67,1201,252,886,194
10.0,55.0,55.0,1014,574,495,61,1086,235,791,185
100.0,55.0,55.0,920,529,461,55,993,218,726,169
55.0,10.0,55.0,915,518,450,52,982,215,722,170
55.0,100.0,55.0,893,509,438,52,960,211,703,170
55.0,55.0,10.0,892,504,440,52,956,209,703,164
55.0,55.0,100.0,912,506,437,53,968,210,711,165
55.0,55.0,55.0,857,487,428,49,922,204,675,164
55.0,55.0,55.0,851,480,424,50,912,203,672,162
55.0,55.0,55.0,840,471,416,49,896,200,662,161
55.0,55.0,55.0,829,463,407,49,887,195,652,157
55.0,55.0,55.0,1103,607,529,66,1167,252,858,202
280.0,10.0,10.0,1019,575,500,62,1086,237,797,190
10.0,280.0,10.0,974,549,467,57,1040,222,756,178
10.0,10.0,280.0,955,533,463,53,1017,214,749,163
145.0,145.0,10.0,853,496,439,52,925,211,675,169
145.0,10.0,145.0,885,498,435,52,946,204,697,158
10.0,145.0,145.0,835,482,425,51,904,204,662,165
